timezone,temp,humidity,weather
25-02-22 15:59:40,-6.24,53,clear sky
25-02-22 16:25:00,-6.24,58,clear sky
25-02-22 16:38:13,-6.24,58,clear sky
25-02-22 16:46:47,-6.24,58,clear sky
25-02-22 16:55:12,-6.24,58,clear sky
25-02-22 17:11:13,-6.24,58,clear sky
25-02-22 17:28:18,-8.24,62,clear sky
25-02-22 17:37:36,-8.24,62,clear sky
25-02-22 17:46:13,-8.24,62,clear sky
25-02-22 17:54:27,-8.24,62,clear sky
25-02-22 18:14:04,-3.99,40,few clouds
25-02-22 18:34:00,-7.24,58,clear sky
25-02-22 18:43:54,-7.24,58,clear sky
25-02-22 18:51:58,-7.24,58,clear sky
25-02-22 19:00:11,-7.24,58,clear sky
25-02-22 19:17:10,-4.19,39,clear sky
25-02-22 19:25:34,-9.24,67,clear sky
25-02-22 19:34:58,-9.24,67,clear sky
25-02-22 19:43:10,-9.24,67,clear sky
25-02-22 19:51:32,-9.24,67,clear sky
25-02-22 19:59:52,-9.24,67,clear sky
25-02-22 20:22:18,-4.47,37,clear sky
25-02-22 20:30:57,-8.24,67,clear sky
25-02-22 20:40:23,-8.24,67,clear sky
25-02-22 20:48:39,-8.24,67,clear sky
25-02-22 20:57:16,-8.24,67,clear sky
25-02-22 21:15:17,-4.75,35,clear sky
25-02-22 21:27:06,-4.75,35,clear sky
25-02-22 21:36:01,-8.24,67,clear sky
25-02-22 21:44:13,-8.24,67,clear sky
25-02-22 21:52:46,-8.24,67,clear sky
25-02-22 22:06:47,-8.24,67,clear sky
25-02-22 22:26:27,-7.24,63,clear sky
25-02-22 22:36:36,-7.24,63,clear sky
25-02-22 22:45:01,-7.24,63,clear sky
25-02-22 22:53:30,-7.24,63,clear sky
25-02-22 23:08:53,-4.93,37,clear sky
25-02-22 23:23:30,-4.93,37,clear sky
25-02-22 23:32:28,-5.24,58,clear sky
25-02-22 23:40:41,-5.24,58,clear sky
25-02-22 23:49:16,-5.24,58,clear sky
25-02-22 23:57:45,-5.24,58,clear sky
25-02-23 01:35:41,-2.24,37,clear sky
25-02-23 02:43:25,-1.24,37,clear sky
25-02-23 03:13:51,-2.56,30,clear sky
25-02-23 03:34:51,-2.24,34,few clouds
25-02-23 03:45:18,-2.24,34,few clouds
25-02-23 03:53:33,-2.24,34,few clouds
25-02-23 04:11:37,-1.98,28,clear sky
25-02-23 04:32:59,-0.24,32,few clouds
25-02-23 04:45:04,-0.24,32,few clouds
25-02-23 04:53:11,-0.24,32,few clouds
25-02-23 05:08:56,-1.47,25,clear sky
25-02-23 05:28:42,-0.24,27,clear sky
25-02-23 05:39:24,-0.24,27,clear sky
25-02-23 05:47:45,-0.24,27,clear sky
25-02-23 05:56:17,-0.24,27,clear sky
25-02-23 06:19:52,-1.29,24,few clouds
25-02-23 06:38:22,-0.24,29,clear sky
25-02-23 06:46:51,-0.24,29,clear sky
25-02-23 06:55:08,-0.24,29,clear sky
25-02-23 07:11:44,-0.24,29,clear sky
25-02-23 07:25:02,-0.24,34,clear sky
25-02-23 07:34:18,-0.24,34,clear sky
25-02-23 07:42:49,-0.24,34,clear sky
25-02-23 07:51:17,-0.24,34,clear sky
25-02-23 07:59:31,-0.24,34,clear sky
25-02-23 08:26:20,-0.24,29,clear sky
25-02-23 08:39:13,-0.24,29,clear sky
25-02-23 08:47:40,-0.24,29,clear sky
25-02-23 08:56:03,-0.24,29,clear sky
25-02-23 09:14:18,-0.24,29,clear sky
25-02-23 09:29:16,-2.24,34,clear sky
25-02-23 09:39:51,-2.24,34,clear sky
25-02-23 09:48:04,-2.24,34,clear sky
25-02-23 09:56:36,-2.24,34,clear sky
25-02-23 10:16:00,-3.08,33,clear sky
25-02-23 10:33:10,-3.24,36,clear sky
25-02-23 10:41:56,-3.24,36,clear sky
25-02-23 10:50:33,-3.24,36,clear sky
25-02-23 10:59:01,-3.24,36,clear sky
25-02-23 11:16:41,-3.24,36,clear sky
25-02-23 11:25:23,-4.24,42,clear sky
25-02-23 11:35:30,-4.24,42,clear sky
25-02-23 11:43:45,-4.24,42,clear sky
25-02-23 11:52:23,-4.24,42,clear sky
25-02-23 12:12:22,-3.59,37,clear sky
25-02-23 12:47:59,-5.24,50,clear sky
25-02-23 13:08:55,-5.24,50,clear sky
25-02-23 13:26:33,-5.24,50,clear sky
25-02-23 13:35:16,-5.24,50,clear sky
25-02-23 13:43:44,-5.24,50,clear sky
25-02-23 13:52:15,-5.24,50,clear sky
25-02-23 14:01:20,-5.24,50,clear sky
25-02-23 14:21:54,-3.76,39,clear sky
25-02-23 14:34:17,-6.24,53,clear sky
25-02-23 14:42:44,-6.24,53,clear sky
